,num,line_no,line_up,station_num,station_0,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,station_12,station_13,station_14,station_15,station_16,station_17,station_18,station_19,station_20,station_21,station_22,station_23,station_24,station_25,station_26,station_27,station_28,station_29,station_30,station_31,station_32,station_33,station_34,station_35
60,60,40路,0,17,电石厂,天能水泥,天能乙炔,天伟乙炔,天业化工,东七北十五路口,清泉集二连路口,清泉集二连北,清泉集七连路口,清泉集七连北,大全新能源南,大全新能源,清泉集一连路口,天山铝业电厂,清泉集六连,天富电厂路口,合盛硅业,,,,,,,,,,,,,,,,,,,
61,61,40路,1,17,合盛硅业,天富电厂路口,清泉集六连,天山铝业电厂,清泉集一连路口,大全新能源,大全新能源南,清泉集七连北,清泉集七连路口,清泉集二连北,清泉集二连路口,东七北十五路口,天业化工,天伟乙炔,天能乙炔,天能水泥,电石厂,,,,,,,,,,,,,,,,,,,
62,62,5路,0,26,火车站,铁路货场,铁路生活区东,铁路生活区北,152团五连,152团试验站,兵团六建,储金市场,玛管处,25小区南,原五金公司,移动公司(原红旗商场),中医院,十六小区北,城区交警大队,柴油机厂,西工业区市场南,粮油加工厂,造纸厂,原八一糖厂,八一棉纺厂,棉纺厂生活区,棉纺厂影院,邮电宾馆,服装城,老街,,,,,,,,,,
63,63,5路,1,26,老街,服装城,邮电宾馆,棉纺厂影院,棉纺厂生活区,八一棉纺厂,原八一糖厂,造纸厂,粮油加工厂,西工业区市场南,柴油机厂,城区交警大队,十六小区北,中医院,移动公司(原红旗商场),原五金公司,25小区南,玛管处,储金市场,兵团六建,152团试验站,152团五连,铁路生活区北,铁路生活区东,铁路货场,火车站,,,,,,,,,,
64,64,6路,0,31,公交四车场,十六小区西,城区交警大队,西公园东,公交指挥调度中心,音乐广场,休闲广场,第十中学(原市二中),红山办事处,医学院西门,交警指挥中心,福利中心,石河子大学西,金马市场,区老干所,原三江公司,百货大楼,中国银行,建设银行,长城宾馆,邮电宾馆,棉纺厂影院,棉纺场生活区,西热电厂,白杨酒业,兵团西油库,兵团农科院(三方蜂业),新开食品厂,农科院西,农科院生活区,石河子大学农试场,,,,,
65,65,6路,1,31,石河子大学农试场,农科院生活区,农科院西,新开食品厂,兵团农科院(三方缝业),兵团西油库,白杨酒厂,西热电厂,棉纺厂生活区,棉纺厂影院,邮电宾馆,长城宾馆,建设银行,中国银行,百货大楼,原三江公司,区老干所,金马市场,石河子大学西,福利中心,交警指挥中心,医学院西门,红山办事处,第十中学(原市二中),休闲广场,音乐广场,公交指挥调度中心,西公园东,城区交警大队,十六小区西,公交四车场,,,,,
66,66,7路,0,33,开发区客运站,党政服务中心,东五北四路口,景盛园小区,六宫村东,六宫村,东桥村,职业技术学院,液化气总站,北五东三路口,综合市场,原汽二团,养征处,白杨预制厂,泰利丰市场,客运公司,子午路(夏岛咖啡),中国银行,建设银行,长城宾馆,百家园,市人民医院西,西公园北门,糖厂生活区,西工业区市场北,原八一糖厂,区纺织品站,312国道北三路口,活畜市场,沙依巴克村,天通木材厂,五宫村,通联三五连,,,
67,67,7路,1,32,通联三五连,五宫村,天通木材厂,沙依巴克村,活畜市场,312国道北三路口,区纺织品站,原八一糖厂,西工业区市场北,糖厂生活区,西公园北门,人民医院西,百家园,长城宾馆,建设银行,中国银行,子午路(夏岛咖啡),客运公司,泰利丰市场,白杨预制厂,养征处,原汽二团,综合市场,北五东三路口,液化气总站,职业技术学院,东桥村,六宫村,景盛园小区,东五北四路口,党政服务中心,开发区客运站,,,,
68,68,8路,0,20,开发区客运站,步行街建材市场,东五北四路口,景盛园小区,清真寺,省道115东五路口,天桥燃气改装厂,温州国际商城,电中驾校,综合市场,原东油库,原蔬菜批发市场,钢材市场,开元宾馆,五洲医院,原大修厂,白杨小区南,白杨酒业,农科院三方蜂业,糖厂路口,,,,,,,,,,,,,,,,
69,69,8路,1,20,糖厂路口,农科院三方蜂业,白杨酒业,白杨小区南,原大修厂,五洲医院,开元宾馆,钢材市场,原蔬菜批发市场,原东油库,综合市场,电中驾校,温州国际商城,天桥燃气改装厂,省道115东五路口,清真寺,景盛园小区,东五北四路口,高管局南,开发区客运站,,,,,,,,,,,,,,,,
70,70,9路,0,34,高中学区公交枢纽,北一东六路口,高中学区西,北一东五路口,北一东四路口,原二建工区东,阳光丽景,武警六支队,原二建工区,二医院,医学院南,医学院西门,交警指挥中心,福利中心,石河子大学,金马市场,原小车排,养征处,白杨预制厂,泰利丰市场,公路总段,北六路十一小区,兽医站,第四中学,幸福路(亿家服饰),一小西门,农贸市场西门,石河子卫校,市人民医院南,西公园北门,糖厂生活区,西工业区市场北,原八一糖厂,原八一棉纺厂,,
71,71,9路,1,34,原八一棉纺厂,原八一糖厂,西工业区市场北,糖厂生活区,西公园北门,市人民医院南,石河子卫校,农贸市场西门,一小西门,幸福路(亿家服饰),第四中学,兽医站,北六路十一小区,公路总段,泰利丰市场,白杨预制厂,养征处,原小车排,金马市场,石河子大学,福利中心,交警指挥中心,医学院西门,医学院南,二医院,原二建工区,武警六支队,阳光丽景,原二建工区东,北一东四路口,北一东五路口,高中学区西,北一东六路口,高中学区公交枢纽,,
