,name,longitude,latitude
166,东丽开发区二经路,117.355278,39.076141
167,东丽开发区五经路,117.370880,39.066986
168,东丽开发区六经路,117.375694,39.065422
169,东丽开发区站(东丽开发区轻轨公交站),117.357739,39.081071
170,东丽开发区管委会,117.351562,39.079941
171,东丽排管处,117.496826,39.024441
172,东丽新业广场,117.355782,39.080257
173,东丽湖公交站,117.509689,39.189075
174,东丽湖度假村,117.486809,39.189350
175,东丽湖生态公园,117.475929,39.169353
176,东丽湖路,117.471062,39.154636
177,东丽航空商务区,117.334007,39.118286
178,东丽航空商务区南,117.334625,39.111748
179,东丽郊野公园,117.398857,39.221176
180,东九道,117.425003,39.143208
181,东二道,117.401985,39.157814
182,东于庄,117.182899,39.172417
183,东五台寺,116.898449,38.866193
184,东五道中环东路,117.409172,39.151413
185,东井峪,117.505920,40.114128
186,东八道,117.421799,39.145668
187,东六经路,117.208267,39.155365
188,东六道环河东路,117.421074,39.154675
189,东兰坨,117.307899,38.854618
190,东兴市场,116.947952,38.933113
191,东兴立交桥,117.258331,39.122005
192,东北角,117.190399,39.143345
193,东升村,117.776451,39.305256
194,东升村(七里海大道),117.776451,39.305256
195,东升里,117.141701,39.222488
196,东双塘(京福公路),116.921494,38.872517
197,东双塘(双兴街),116.921494,38.872517
198,东台子,117.327934,38.836861
199,东咀(东嘴),117.465347,39.025070
200,东四路,117.730026,38.979202
201,东四道,117.416847,39.162067
202,东城家园,117.294884,39.117783
203,东堤头,117.376045,39.271458
204,东堤头商贸城(枫水湾),117.374306,39.271641
205,东堤头大桥(华北桥),117.385307,39.275272
206,东堤村,116.999222,39.194740
207,东堼,117.466461,39.046745
208,东塘坨,117.508018,39.327309
209,东大屯,117.472282,40.065830
210,东大屯(喜邦线),117.476303,40.061680
211,东大屯中心站,117.472282,40.065830
212,东大站,117.478943,38.944397
213,东大站联合小学,117.478127,38.944870
214,东大街,117.669823,39.014042
215,东姜井,117.112259,39.125206
216,东姜井站(东姜井公交站),117.112259,39.125206
217,东孔庄,117.626823,40.087795
218,东安驾校,117.308418,39.217697
219,东寨[宝坻宝武路],117.458191,39.523655
220,东寨[静海区],117.051163,38.960770
221,东小王台村,117.486687,39.263462
222,东小许庄村,117.248756,39.909107
223,东尹村委会,117.867500,39.321285
224,东局子,117.270157,39.129158
225,东庄坨,117.856079,39.300602
226,东店子,117.722610,40.049171
227,东康家园,117.262749,39.151897
228,东张庄,117.414134,38.990678
229,东张庄公交站,117.414134,38.990678
230,东惠家园,117.262421,39.154518
231,东房子,117.202179,38.776588
232,东抛庄,117.178261,38.679901
233,东方仕嘉,116.936747,38.926667
234,东方商业街,116.978401,38.936295
235,东方大桥,116.989594,38.936069
236,东方小区,116.963783,38.934471
237,东方尚都,117.843727,39.337486
238,东方文化广场,117.666122,39.004787
239,东方新城,117.733505,38.929798
240,东方红立交桥,116.930931,38.931705
241,东方财信,117.350952,39.076855
242,东施古镇,117.329445,39.886501
243,东昌路口,117.188195,39.175093
244,东李自沽,117.925728,39.286942
