,line_no,line_up,station_num,station_0,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,station_12,station_13,station_14,station_15,station_16,station_17,station_18,station_19,station_20,station_21,station_22,station_23,station_24,station_25,station_26,station_27,station_28,station_29,station_30,station_31,station_32,station_33,station_34,station_35,station_36,station_37,station_38,station_39,station_40,station_41,station_42,station_43,station_44,station_45,station_46,station_47,station_48,station_49,station_50,station_51,station_52,station_53,station_54,station_55,station_56,station_57,station_58,station_59,station_60,station_61,station_62,station_63,station_64,station_65,station_66,station_67,station_68,station_69,station_70,station_71,station_72,station_73,station_74,station_75,station_76,station_77,station_78,station_79,station_80,station_81,station_82,station_83,station_84,station_85
11,101路,1,30,远洋城道公交站,滨悦花园,香颂园,远洋城,公路管理所,塘沽职专,胡家园,滨海客运站,红光家园,胡北路,五车地,新河船厂,滨海龙都小区,塘沽火车站(营口道),实验学校(营口道),工人新村(营口道),政通大厦,草场街,塘沽外滩公园,东大街,公安街,向阳楼[滨海塘沽],老弯道,朝阳楼,春风里,朝阳小学,紫云中学,新都家园,新城家园南门,新区文化中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,102路,0,41,新港客运码头公交站,二号门(新港一号路),三百吨(新港一号路),办公厅,建港里,解放门,纪念碑(万人坑纪念碑),四号码头,朝阳楼,老弯道,公安街,东大街,塘沽外滩公园,和平路,丹东街,塘沽电视台,浙江路小学,工人新村(上海道),实验学校(福建西路),塘沽火车站(营口道),滨海龙都小区,新河船厂,五车地,胡北路,红光家园,滨海客运站,胡家园,塘沽职专,公路管理所,远洋城(102路),菁华津城,头道沟,六道沟,十二号桥,馨桥园,欣美园,旭辉澜郡,万通供热,觉顺园,西部新城,西部新城公交首末站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,102路,1,40,西部新城公交首末站,西部新城,觉顺园,万通供热,旭辉澜郡,欣美园,馨桥园,六道沟,头道沟,菁华津城,远洋城,公路管理所,塘沽职专,胡家园,滨海客运站,红光家园,胡北路,五车地,新河船厂,滨海龙都小区,塘沽火车站(营口道),实验学校(福建西路),工人新村(上海道),浙江路小学,塘沽电视台,丹东街,和平路,塘沽外滩公园,东大街,公安街,老弯道,朝阳楼,四号码头,纪念碑(万人坑纪念碑),解放门,建港里,办公厅,三百吨(新港一号路),二号门(新港一号路),新港客运码头公交站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,186路,0,45,天津站(天津站A1站台),口腔医院(哈尔滨道口),曲阜道,海河中学(解放南路),小刘庄,围堤道,大沽南路,珠江装饰城,江水道,周庄子,大寺东,贾庄子,龙顺园,南里八口,佳和雅庭,赛达世纪大道,团洼,领域路,部队农场,白万公路,南八里台工业园区,南八里台[津港公路],国家农业科技园区,津南区政府,北义,老左营,光明村,潘家洼,西小站,黄家台,大安桥,安达桥,罗马广场,石化路[西环路],石化总厂,石化社区医院,八栋楼,振业里(迎宾街),振兴路,春港花园,南开大学滨海学院,天津外国语大学滨海外事学院,世纪花园,重阳里,大港老客运站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,186路,1,45,大港老客运站,世纪花园,天津外国语大学滨海外事学院,南开大学滨海学院,春港花园,重阳里,振兴路,振业里(迎宾街),八栋楼,石化社区医院,石化总厂,石化路[西环路],罗马广场,安达桥,大安桥,黄家台,西小站,潘家洼,光明村,老左营,北义,津南区政府,国家农业科技园区,南八里台[津港公路],南八里台工业园区,白万公路,部队农场,领域路,团洼,赛达世纪大道,佳和雅庭,南里八口,龙顺园,贾庄子,大寺东,周庄子,江水道,珠江装饰城,大沽南路,围堤道,小刘庄,海河中学(解放南路),曲阜道,口腔医院(哈尔滨道口),天津站(天津站A1站台),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,152路,0,42,土城,棉四宿舍,柳苑公寓,学苑路,灰堆,轻化所,中铁十八局,天职师大,李楼,双港,海河医院,文教厂,唐庄子,首创光和城,中辛庄,后辛庄,辛柴路,雅言路天桥,南洋,雅馨路天桥,博雅花园,金石南里,西大桥,全红桥,二道桥,南环路,三道沟,大芦庄,宣惠园,北闸口中学,北闸口开发区,天地源欧筑小区,正营,后营,月桥村,米立方,小站医院,小站红旗路(南付营路),福馨公寓,正营道,幸福公寓,米立方海世界,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,152路,1,42,米立方海世界,幸福公寓,正营道,福馨公寓,小站红旗路(津歧公路),小站医院,米立方,月桥村,后营,正营,天地源欧筑小区,北闸口开发区,北闸口中学,宣惠园,大芦庄,三道沟,南环路,二道桥,全红桥,西大桥,金石南里,博雅花园,雅馨路天桥,南洋,雅言路天桥,辛柴路,后辛庄,中辛庄,首创光和城,唐庄子,文教厂,海河医院,双港,李楼,天职师大,中铁十八局,轻化所,灰堆,学苑路,柳苑公寓,棉四宿舍,土城,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,103路,0,24,外滩公安街公交站,东大街,塘沽外滩公园,和平路,烟台道[滨海塘沽],地道口[滨海塘沽],洋货市场,宏达公寓,贻丰园,康乐园,宝山道,贻正嘉合,勤美达公司,滨海创业园,东江路,裕川建材,公安缉毒大队,洞庭路[集疏港公路],黄海北路,北塘大街,北塘古镇,新区公交调度中心,北塘企业总部,北塘馨宇家园,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,103路,1,24,北塘馨宇家园,北塘企业总部,新区公交调度中心,北塘古镇,北塘大街,黄海北路,洞庭路[集疏港公路],公安缉毒大队,裕川建材,东江路,滨海创业园,勤美达公司,贻正嘉合,宝山道,康乐园,贻丰园,宏达公寓,洋货市场,地道口[滨海塘沽],烟台道[滨海塘沽],和平路,塘沽外滩公园,东大街,外滩公安街公交站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,104路,0,53,滨海大学城,校区商业街,天津科技大学[天津科技大学泰达校区],六合镁,裕腾置业,泰达公交公司(滨海新区公交公司),污水处理厂,热电公司[中央大道],村元电子,津滨发展,雀巢公司(中央大道),斯坦雷电器,开泰科技园,百合路(百和路),北洋集装箱,顶益食品,梅兰日兰,金江路,丹江路,工农村,鸿正绿色家园(福州道),奥林花园,莱茵春天,塘沽党校,宜昌里,贵阳里,胜利宾馆,泰和城小区,塘沽大剧院,浙江路小学,工人新村(上海道),实验学校(福建西路),塘沽火车站(营口道),滨海龙都小区,新河船厂,五车地,胡北路,红光家园,滨海客运站,胡家园,塘沽职专,公路管理所,远洋城,菁华津城,头道沟,六道沟,馨桥园,欣美园,旭辉澜郡,万通供热,觉顺园,西部新城,西部新城公交首末站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,104路,1,52,西部新城公交首末站,西部新城,觉顺园,万通供热,旭辉澜郡,欣美园,馨桥园,六道沟,头道沟,菁华津城,远洋城,公路管理所,塘沽职专,胡家园,滨海客运站,红光家园,胡北路,五车地,新河船厂,滨海龙都小区,塘沽火车站(营口道),实验学校(福建西路),工人新村(上海道),浙江路小学,塘沽大剧院,泰和城小区,胜利宾馆,贵阳里,宜昌里,塘沽党校,莱茵春天,奥林花园,鸿正绿色家园(福州道),工农村,丹江路,金江路,梅兰日兰,顶益食品,北洋集装箱,百合路(百和路),开泰科技园,斯坦雷电器,雀巢公司(中央大道),津滨发展,村元电子,热电公司[中央大道],污水处理厂,泰达公交公司(滨海新区公交公司),裕腾置业,六合镁,天津科技大学[天津科技大学泰达校区],滨海大学城,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,105路,0,37,金元宝滨海农贸市场,东江路,滨海创业园,勤美达公司,贻正嘉合,宝山道,康乐园,塘沽党校,宜昌里,贵阳里,胜利宾馆,泰和城小区,塘沽大剧院,河滨公园,天津第五中心医院(西半圆路),塘沽五中,崇安里,塘沽火车站(大连道),滨海龙都小区,新河船厂,五车地,胡北路,北海粮油,外运仓库,河头村,河头小学,张家圈村,陈家圈村,刘庄子村,善门口村,容器厂,大埝村,田庄子村,周庄子村,于庄子村,于庄子小学,郑庄子村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,105路,1,37,郑庄子村,于庄子小学,于庄子村,周庄子村,田庄子村,大埝村,容器厂,善门口村,刘庄子村,陈家圈村,张家圈村,河头小学,河头村,外运仓库,北海粮油,胡北路,五车地,新河船厂,滨海龙都小区,塘沽火车站(大连道),崇安里,塘沽五中,天津第五中心医院(西半圆路),河滨公园,塘沽大剧院,泰和城小区,胜利宾馆,贵阳里,宜昌里,塘沽党校,康乐园(鸿起顺饭庄),宝山道,贻正嘉合,勤美达公司,滨海创业园,东江路,金元宝滨海农贸市场,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,107路,0,20,大梁子渡口公交站,天津第五中心医院(西半圆路),浙江路小学,塘沽电视台,丹东街,和平路,塘沽外滩公园,东大街,公安街,老弯道,朝阳楼,四号码头,天科所,远洋宾馆,滨海新区政府,港口医院(新港二号路),新港文体中心(海西路),海西路,新港三号路(海安里),二号门(海安路),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,107路,1,18,二号门(海安路),新港文体中心(新港二号路),港口医院(新港二号路),滨海新区政府,远洋宾馆,天科所,四号码头,朝阳楼,老弯道,公安街,东大街,塘沽外滩公园,和平路,丹东街,塘沽电视台,浙江路小学,天津第五中心医院(西半圆路),大梁子渡口公交站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
