,line_no,line_up,station_num,station_0,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,station_12,station_13,station_14,station_15,station_16,station_17,station_18,station_19,station_20,station_21,station_22,station_23,station_24,station_25,station_26,station_27,station_28,station_29,station_30,station_31,station_32,station_33,station_34,station_35,station_36,station_37,station_38,station_39,station_40,station_41,station_42,station_43,station_44,station_45,station_46,station_47,station_48,station_49,station_50,station_51,station_52,station_53,station_54,station_55,station_56,station_57,station_58,station_59,station_60,station_61,station_62,station_63,station_64,station_65,station_66,station_67,station_68,station_69,station_70,station_71,station_72,station_73,station_74,station_75,station_76,station_77,station_78,station_79,station_80,station_81,station_82,station_83,station_84,station_85
438,482路,0,29,丰台镇,丰台南,丰台镇政府,大李庄,小李庄[宁河区],倚岸村,大麦沽村,崔成庄,板桥镇,王良庄,于三庄,东瓦村,苗庄镇,麦穗沽村,小沙窝村,大沙窝村,苗枣庄,刘庄子村[宁河区],闫庄,曹庄村,建新村,北陈花园,东方尚都,赛丰购物广场,宁河交警支队(商业道),宁河体育馆,宁河邮政局,宁河消防队,泛马公交站(泛马装饰城),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,482路,1,29,泛马公交站(泛马装饰城),宁河消防队,宁河邮政局,宁河体育馆,宁河交警支队(商业道),赛丰购物广场,东方尚都,北陈花园,建新村,曹庄村,闫庄,刘庄子村[宁河区],苗枣庄,大沙窝村,小沙窝村,麦穗沽村,苗庄镇,东瓦村,于三庄,王良庄,板桥镇,崔成庄,大麦沽村,倚岸村,小李庄[宁河区],大李庄,丰台镇政府,丰台南,丰台镇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,483路(联运492路),0,23,宁河镇,西关村,南沽村,孟庄村,杨拔村,菜园村,廉庄村,廉庄乡政府,高坨村,前米村,木头窝村,朝阳村,大艇村,赵庄中学,农贸市场[津榆公路],联通大厦,烟草公司,金桥小区,宁河交警支队(商业道),宁河体育馆,宁河邮政局,宁河消防队,泛马公交站(泛马装饰城),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,483路(联运492路),1,23,泛马公交站(泛马装饰城),宁河消防队,宁河邮政局,宁河体育馆,宁河交警支队(商业道),金桥小区,烟草公司,联通大厦,农贸市场[津榆公路],赵庄中学,大艇村,朝阳村,木头窝村,前米村,高坨村,廉庄乡政府,廉庄村,菜园村,杨拔村,孟庄村,南沽村,西关村,宁河镇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,484路(联运489路),0,31,江洼口,大月河,小辛庄[宁河区],后邦道沽村,前邦道沽村,牛口村,张辛庄,宁河镇政府,宁河镇,西关村,南沽村,孟庄村,杨拔村,菜园村,廉庄村,廉庄乡政府,高坨村,前米村,木头窝村,朝阳村,大艇村,赵庄中学,农贸市场[津榆公路],联通大厦,烟草公司,金桥小区,宁河交警支队(商业道),宁河体育馆,宁河邮政局,宁河消防队,泛马公交站(泛马装饰城),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,484路(联运489路),1,31,泛马公交站(泛马装饰城),宁河消防队,宁河邮政局,宁河体育馆,宁河交警支队(商业道),金桥小区,烟草公司,联通大厦,农贸市场[津榆公路],赵庄中学,大艇村,朝阳村,木头窝村,前米村,高坨村,廉庄乡政府,廉庄村,菜园村,杨拔村,孟庄村,南沽村,西关村,宁河镇,宁河镇政府,张辛庄,牛口村,前邦道沽村,后邦道沽村,小辛庄[宁河区],大月河,江洼口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,485路,0,32,大邓庄,小邓庄,张彪庄,西苗村,赵本,李城村,艾林庄,小从庄,高景村,毛毛匠村,大于庄,李花毛村,孟庄村,杨拔村,菜园村,廉庄村,廉庄乡政府,高坨村,前米村,木头窝村,朝阳村,大艇村,赵庄中学,农贸市场[津榆公路],联通大厦,烟草公司,金桥小区,宁河交警支队(商业道),宁河体育馆,宁河邮政局,宁河消防队,泛马公交站(泛马装饰城),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,485路,1,32,泛马公交站(泛马装饰城),宁河消防队,宁河邮政局,宁河体育馆,宁河交警支队(商业道),金桥小区,烟草公司,联通大厦,农贸市场[津榆公路],赵庄中学,大艇村,朝阳村,木头窝村,前米村,高坨村,廉庄乡政府,廉庄村,菜园村,杨拔村,孟庄村,李花毛村,大于庄,毛毛匠村,高景村,小从庄,艾林庄,李城村,赵本,西苗村,张彪庄,小邓庄,大邓庄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,486路,0,31,东白闸,东白庄,史家庄[宁河区],姜家庄,东棘坨镇政府,东棘坨村,前大安村,高景村,毛毛匠村,大于庄,李花毛村,孟庄村,杨拔村,菜园村,廉庄村,廉庄乡政府,高坨村,前米村,木头窝村,朝阳村,大艇村,赵庄中学,农贸市场[津榆公路],联通大厦,烟草公司,金桥小区,宁河交警支队(商业道),宁河体育馆,宁河邮政局,宁河消防队,泛马公交站(泛马装饰城),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,486路,1,31,泛马公交站(泛马装饰城),宁河消防队,宁河邮政局,宁河体育馆,宁河交警支队(商业道),金桥小区,烟草公司,联通大厦,农贸市场[津榆公路],赵庄中学,大艇村,朝阳村,木头窝村,前米村,高坨村,廉庄乡政府,廉庄村,菜园村,杨拔村,孟庄村,李花毛村,大于庄,毛毛匠村,高景村,前大安村,东棘坨村,东棘坨镇政府,姜家庄,史家庄[宁河区],东白庄,东白闸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,490路,0,34,张老仁村,东白闸,东白庄,史家庄[宁河区],姜家庄,于京村,大港村,东棘坨镇政府,东棘坨村,前大安村,高景村,毛毛匠村,大于庄,李花毛村,孟庄村,杨拔村,菜园村,廉庄村,廉庄乡政府,高坨村,前米村,木头窝村,朝阳村,大艇村,赵庄中学,农贸市场[津榆公路],联通大厦,烟草公司,金桥小区,宁河交警支队(商业道),宁河体育馆,宁河邮政局,宁河消防队,泛马公交站(泛马装饰城),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,490路,1,34,泛马公交站(泛马装饰城),宁河消防队,宁河邮政局,宁河体育馆,宁河交警支队(商业道),金桥小区,烟草公司,联通大厦,农贸市场[津榆公路],赵庄中学,大艇村,朝阳村,木头窝村,前米村,高坨村,廉庄乡政府,廉庄村,菜园村,杨拔村,孟庄村,李花毛村,大于庄,毛毛匠村,高景村,前大安村,东棘坨村,东棘坨镇政府,大港村,于京村,姜家庄,史家庄[宁河区],东白庄,东白闸,张老仁村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,494路,0,32,东赵庄村[宁河区],柳树洼村,马连庄村,马辛庄村,小芦庄村,东棘坨镇政府,东棘坨村,前大安村,高景村,毛毛匠村,大于庄,李花毛村,孟庄村,杨拔村,菜园村,廉庄村,廉庄乡政府,高坨村,前米村,木头窝村,朝阳村,大艇村,赵庄中学,农贸市场[津榆公路],联通大厦,烟草公司,金桥小区,宁河交警支队(商业道),宁河体育馆,宁河邮政局,宁河消防队,泛马公交站(泛马装饰城),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,494路,1,32,泛马公交站(泛马装饰城),宁河消防队,宁河邮政局,宁河体育馆,宁河交警支队(商业道),金桥小区,烟草公司,联通大厦,农贸市场[津榆公路],赵庄中学,大艇村,朝阳村,木头窝村,前米村,高坨村,廉庄乡政府,廉庄村,菜园村,杨拔村,孟庄村,李花毛村,大于庄,毛毛匠村,高景村,前大安村,东棘坨村,东棘坨镇政府,小芦庄村,马辛庄村,马连庄村,柳树洼村,东赵庄村[宁河区],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,488路,0,30,大顷甸村,小顷甸村,胡晋村,李家甸村,王洪村,前大安村,高景村,毛毛匠村,大于庄,李花毛村,孟庄村,杨拔村,菜园村,廉庄村,廉庄乡政府,高坨村,前米村,木头窝村,朝阳村,大艇村,赵庄中学,农贸市场[津榆公路],联通大厦,烟草公司,金桥小区,宁河交警支队(商业道),宁河体育馆,宁河邮政局,宁河消防队,泛马公交站(泛马装饰城),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,488路,1,30,泛马公交站(泛马装饰城),宁河消防队,宁河邮政局,宁河体育馆,宁河交警支队(商业道),金桥小区,烟草公司,联通大厦,农贸市场[津榆公路],赵庄中学,大艇村,朝阳村,木头窝村,前米村,高坨村,廉庄乡政府,廉庄村,菜园村,杨拔村,孟庄村,李花毛村,大于庄,毛毛匠村,高景村,前大安村,王洪村,李家甸村,胡晋村,小顷甸村,大顷甸村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,478路,0,4,潘庄规划馆,潘庄中学,西塘坨,东塘坨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,478路,1,4,东塘坨,西塘坨,潘庄中学,潘庄规划馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,493路,0,24,任千户,于怀庄,大于庄村,李花毛村,孟庄村,杨拔村,菜园村,廉庄村,廉庄乡政府,高坨村,前米村,木头窝村,朝阳村,大艇村,赵庄中学,农贸市场[津榆公路],联通大厦,烟草公司,金桥小区,宁河交警支队(商业道),宁河体育馆,宁河邮政局,宁河消防队,泛马公交站(泛马装饰城),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,493路,1,24,泛马公交站(泛马装饰城),宁河消防队,宁河邮政局,宁河体育馆,宁河交警支队(商业道),金桥小区,烟草公司,联通大厦,农贸市场[津榆公路],赵庄中学,大艇村,朝阳村,木头窝村,前米村,高坨村,廉庄乡政府,廉庄村,菜园村,杨拔村,孟庄村,李花毛村,大于庄村,于怀庄,任千户,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,401路(支线)(停运),0,15,汉沽中心站,汉沽建行,汉沽邮政局,金佰汇商厦,汉沽大剧院,海尚豪庭,滨海汉沽客运站,滨海银行大田支行,田华里小区,大田镇政府,在水一方,大田村,芦前村,芦中村,芦后村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,401路(支线)(停运),1,14,芦后村,芦中村,芦前村,大田村,在水一方,大田镇政府,田华里小区,滨海银行大田支行,滨海汉沽客运站,海尚豪庭,汉沽大剧院,金佰汇商厦,汉沽邮政局,汉沽中心站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,459路(小圈),0,18,汉沽公交公司(终点站),泰安里,六安里,汉沽职专(二纬路),二经路三纬路(河西大楼超市),宜春里,河西一小(四纬路),招待所,新村街,天化北门,天化,泰达现代化工业区,交警滨海大队,航母公园,芦花庄园(龙海国际乡村俱乐部),慧风溪(双威),仁副营炮台(八一盐场),生态城服务中心(中新生态城),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,459路(小圈),1,21,生态城服务中心(中新生态城),仁副营炮台(八一盐场),慧风溪(双威),芦花庄园(龙海国际乡村俱乐部),航母公园,交警滨海大队,泰达现代化工业区,天化,天化北门,新村街,招待所,枫景湾,功达集团,汉沽交通运输管理局,汉沽红霞里,水泵公寓,汉沽广播电视中心,汉沽一中,金佰汇商厦,汉沽邮政局,汉沽中心站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,411路,0,16,宝坻客运站,宝坻医院南门,百货大楼[宝坻区],京东第一集,宝坻交通局,宝坻交警支队,绿色家园,宝坻火车站,碱场,杨家口,刘黄庄,冯家庄,张凤庄,刘举庄,方家庄,方家庄工业园,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,411路,1,16,方家庄工业园,方家庄,刘举庄,张凤庄,冯家庄,刘黄庄,杨家口,碱场,宝坻火车站,绿色家园,宝坻交警支队,宝坻交通局,京东第一集,百货大楼[宝坻区],宝坻医院南门,宝坻客运站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,412路,0,16,宝坻客运站,前槐树庄,裕和家园,247社区,汽车市场,农产品市场,安乐村,口东镇,黑狼口,窝贝厂路口,王指挥路口,张秀庄路口,战备闸,王木庄,黄庄乡,貉子沽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,412路,1,16,貉子沽,黄庄乡,王木庄,战备闸,张秀庄路口,王指挥路口,窝贝厂路口,黑狼口,口东镇,安乐村,农产品市场,汽车市场,247社区,裕和家园,前槐树庄,宝坻客运站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,413路(大刘坡线),0,22,宝坻客运站,劝宝东门,宝坻中医院,金色领地花园,万锦中央公园,郝各庄,五登,西四里港,帝景度假村,凯悦大酒店,合生创展,上京顺园,上京康园,上京雍园,朱家窝,范家庄,大杨庄[宝坻区],九园七号路,九园四号路,九园管委会,大刘坡村委会,大刘坡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,413路(大刘坡线),1,22,大刘坡,大刘坡村委会,九园管委会,九园四号路,九园七号路,大杨庄[宝坻区],范家庄,朱家窝,上京雍园,上京康园,上京顺园,合生创展,凯悦大酒店,帝景度假村,西四里港,五登,郝各庄,万锦中央公园,金色领地花园,宝坻中医院,劝宝东门,宝坻客运站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,415路,0,14,宝坻客运站,劝宝东门,宝坻中医院,怡购商业广场,金色领地花园,马家店,双王寺,大口屯镇,西十字港,树尔窝,牛家牌,大宝庄,朱家槽,尔王庄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,415路,1,15,尔王庄,闫皮庄,朱家槽,大宝庄,牛家牌,树尔窝,西十字港,大口屯镇,双王寺,马家店,金色领地花园,怡购商业广场,宝坻中医院,劝宝东门,宝坻客运站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,413路(周良庄大学城线),0,16,宝坻客运站,劝宝东门,宝坻中医院,金色领地花园,万锦中央公园,郝各庄,五登,周良水苑小区,天津财经大学珠江学院,天津财经大学珠江学院,军事交通学院分院,北京科技大学天津学院,上京熙园,上京和园,京津新城管委会,京津新城公交站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,413路(周良庄大学城线),1,16,京津新城公交站,京津新城管委会,上京和园,上京熙园,北京科技大学天津学院,军事交通学院分院,天津财经大学珠江学院,天津财经大学珠江学院,周良水苑小区,五登,郝各庄,万锦中央公园,金色领地花园,宝坻中医院,劝宝东门,宝坻客运站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,417路,0,19,宝坻客运站,劝宝东门,宝坻中医院,怡购商业广场,金色领地花园,马家店,双王寺,大口屯镇,西十字港,树尔窝,牛家牌,西老鸦口,里自沽农场,大白庄,隋家庄,运家庄,大唐庄,鲫鱼淀,东淀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,417路,1,19,东淀,鲫鱼淀,大唐庄,运家庄,隋家庄,大白庄,里自沽农场,西老鸦口,牛家牌,树尔窝,西十字港,大口屯镇,双王寺,马家店,金色领地花园,怡购商业广场,宝坻中医院,劝宝东门,宝坻客运站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,418路(宽江线),0,11,宝坻客运站,杜家庄,老鸦台,王卜庄,下王各庄,林亭口镇,后圈村,小靳庄,牛庄子,袁罗庄,宽江庄扬水站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,418路(宽江线),1,11,宽江庄扬水站,袁罗庄,牛庄子,小靳庄,后圈村,林亭口镇,下王各庄,王卜庄,老鸦台,杜家庄,宝坻客运站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,418路(俭字沽线),0,13,宝坻客运站,杜家庄,老鸦台,王卜庄,下王各庄,林亭口镇,后圈村,小靳庄,牛庄子,袁罗庄,前鲁沽,东鲁沽,俭字沽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,418路(俭字沽线),1,13,俭字沽,东鲁沽,前鲁沽,袁罗庄,牛庄子,小靳庄,后圈村,林亭口镇,下王各庄,王卜庄,老鸦台,杜家庄,宝坻客运站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,419路,0,13,宝坻客运站,劝宝东门,龙熙帝景,玺悦峰,口东开发区,富王庄,八台港,黑狼口,新寨,糙甸,北清沟,南清沟,白毛庄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,419路,1,13,白毛庄,南清沟,北清沟,糙甸,新寨,黑狼口,八台港,富王庄,口东开发区,玺悦峰,龙熙帝景,劝宝东门,宝坻客运站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,404路,0,12,汉沽中心站,阜阳里,汉沽红霞里,汉沽交通运输管理局,华阳里,平阳里,人民街(寨上街办事处),天润新苑,荣达馨园东门,朝阳花园[滨海汉沽],泰达汉郡,汉沽新城公交站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,404路,1,13,汉沽新城公交站,泰达汉郡,朝阳花园[滨海汉沽],荣达馨园东门,天润新苑,人民街(寨上街办事处),平阳里,华阳里,汉沽交通运输管理局,汉沽红霞里,阜阳里,汉沽建行,汉沽中心站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,491路,0,26,东杨庄村,孟旧村,前江石沽村,后江石沽村,后刘瘸庄村,中于飞村,前于飞村,中捷道沽村,前捷道沽村,苗庄镇,麦穗沽村,小沙窝村,大沙窝村,苗枣庄,刘庄子村[宁河区],闫庄,曹庄村,建新村,北陈花园,东方尚都,赛丰购物广场,宁河交警支队(商业道),宁河体育馆,宁河邮政局,宁河消防队,泛马公交站(泛马装饰城),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,491路,1,26,泛马公交站(泛马装饰城),宁河消防队,宁河邮政局,宁河体育馆,宁河交警支队(商业道),赛丰购物广场,东方尚都,北陈花园,建新村,曹庄村,闫庄,刘庄子村[宁河区],苗枣庄,大沙窝村,小沙窝村,麦穗沽村,苗庄镇,前捷道沽村,中捷道沽村,前于飞村,中于飞村,后刘瘸庄村,后江石沽村,前江石沽村,孟旧村,东杨庄村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,495路,0,26,王赞铺村,张子铺村,老家庄,杨花庄,盆罐庄,板桥镇政府,王良庄,于三庄,东瓦村,苗庄镇,麦穗沽村,小沙窝村,大沙窝村,苗枣庄,刘庄子村[宁河区],闫庄,曹庄村,建新村,北陈花园,东方尚都,赛丰购物广场,宁河交警支队(商业道),宁河体育馆,宁河邮政局,宁河消防队,泛马公交站(泛马装饰城),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,495路,1,26,泛马公交站(泛马装饰城),宁河消防队,宁河邮政局,宁河体育馆,宁河交警支队(商业道),赛丰购物广场,东方尚都,北陈花园,建新村,曹庄村,闫庄,刘庄子村[宁河区],苗枣庄,大沙窝村,小沙窝村,麦穗沽村,苗庄镇,东瓦村,于三庄,王良庄,板桥镇政府,盆罐庄,杨花庄,老家庄,张子铺村,王赞铺村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,481路(支线),0,41,曹道口村,东蛇麻港,大田庄,小田村,东魏甸,西魏甸,姜家甸村,大良庄,岳龙庄,岳龙镇政府,于潮庄,前棘坨村,后棘坨村,丰台镇,丰台镇政府,大李庄,小李庄[宁河区],倚岸村,大麦沽村,崔成庄,板桥镇,王良庄,于三庄,东瓦村,苗庄镇,麦穗沽村,小沙窝村,大沙窝村,苗枣庄,刘庄子村[宁河区],闫庄,曹庄村,建新村,北陈花园,东方尚都,赛丰购物广场,宁河交警支队(商业道),宁河体育馆,宁河邮政局,宁河消防队,泛马公交站(泛马装饰城),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,481路(支线),1,41,泛马公交站(泛马装饰城),宁河消防队,宁河邮政局,宁河体育馆,宁河交警支队(商业道),赛丰购物广场,东方尚都,北陈花园,建新村,曹庄村,闫庄,刘庄子村[宁河区],苗枣庄,大沙窝村,小沙窝村,麦穗沽村,苗庄镇,东瓦村,于三庄,王良庄,板桥镇,崔成庄,大麦沽村,倚岸村,小李庄[宁河区],大李庄,丰台镇政府,丰台镇,后棘坨村,前棘坨村,于潮庄,岳龙镇政府,岳龙庄,大良庄,姜家甸村,西魏甸,东魏甸,小田村,大田庄,东蛇麻港,曹道口村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,487路,0,34,大月河,鲁庄村,大邓庄,小邓庄,张彪庄,西苗村,赵本,李城村,艾林庄,小从庄,高景村,毛毛匠村,大于庄,李花毛村,孟庄村,杨拔村,菜园村,廉庄村,廉庄乡政府,高坨村,前米村,木头窝村,朝阳村,大艇村,赵庄中学,农贸市场[津榆公路],联通大厦,烟草公司,金桥小区,宁河交警支队(商业道),宁河体育馆,宁河邮政局,宁河消防队,泛马公交站(泛马装饰城),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,487路,1,34,泛马公交站(泛马装饰城),宁河消防队,宁河邮政局,宁河体育馆,宁河交警支队(商业道),金桥小区,烟草公司,联通大厦,农贸市场[津榆公路],赵庄中学,大艇村,朝阳村,木头窝村,前米村,高坨村,廉庄乡政府,廉庄村,菜园村,杨拔村,孟庄村,李花毛村,大于庄,毛毛匠村,高景村,小从庄,艾林庄,李城村,赵本,西苗村,张彪庄,小邓庄,大邓庄,鲁庄村,大月河,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,403路,0,23,汉沽新城公交站,丽景名苑,泰达美源,绿地三期,绿地景城,汉沽五中,新村一段,新村街,汉沽百货大楼,汉沽建行,汉沽邮政局,金佰汇商厦,汉华世家,一纬路(华城公邸),七星里,汉沽职专(二经路),二经路三纬路(河西大楼超市),宜春里,园林管理中心,新澳花园,汉沽法院,汉沽检察院,高铁滨海北站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,403路,1,23,高铁滨海北站,汉沽检察院,汉沽法院,新澳花园,园林管理中心,宜春里,二经路三纬路(河西大楼超市),汉沽职专(二经路),七星里,一纬路(华城公邸),汉华世家,金佰汇商厦,汉沽邮政局,汉沽建行,汉沽百货大楼,新村街,新村一段,汉沽五中,绿地景城,绿地三期,泰达美源,丽景名苑,汉沽新城公交站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,5路,0,11,丁字沽公交站,西沽,西于庄,三条石,北门(北马路),城厢东路,鼓楼东,时代广场,南市,意式风情区(进步道),天津站(天津站A4站台),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,5路,1,14,天津站(天津站A4站台),大沽桥,北安桥,兴安路北安桥口,南市,时代广场,鼓楼东,城厢东路,北门(北马路),估衣街,三条石,西于庄,西沽,丁字沽公交站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,50路,0,18,王顶堤站(王顶堤公交站),迎风道地铁站(原理工大学),迎水东里,王顶堤立交桥,天拖大楼,天拖地铁站,鞍山西道地铁站(原传染病医院),卧龙里,龙井里,西湖村,天大宿舍,六里台桥,新兴路,鞍山道地铁站,滨江道(国际商场),山东路(营口道),口腔医院(哈尔滨道口),天津站(天津站A5站台),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,50路,1,17,天津站(天津站A5站台),渤海大楼(大沽北路),山东路(赤峰道),滨江道(乐宾百货),总医院,新兴路,天大宿舍,西湖村,龙井里,卧龙里,鞍山西道地铁站(原传染病医院),天拖地铁站,天拖大楼南,王顶堤立交桥,迎水东里,迎风道地铁站(原理工大学),王顶堤站(王顶堤公交站),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,52路,0,23,体育中心站(体育中心公交站),宾水西道,时代奥城,水乡花园,动物园,市委党校,育梁道,迎水东里,王顶堤立交桥,天拖大楼南,天拖大楼,天拖地铁站,鞍山西道地铁站(原传染病医院),西湖道,宜宾道地铁站,长虹公园,黄河道,怡华路,吕祖堂,铃铛阁,先春园,大丰桥,西站公交站(B2站台),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
