900005-10-1
900005-12-1
900005-13-0
900005-8-1
900012-10-1
900012-12-0
900012-14-1
900012-16-0
900012-20-0
900012-22-1
900012-8-0
900012-9-0
900023-10-1
900023-15-1
900023-16-0
900023-20-0
900023-21-0
900024-11-0
900024-14-1
900025-11-0
900025-14-0
900025-17-0
900025-19-0
900025-19-1
900025-8-0
900026-14-0
900026-15-0
900026-16-1
900027-12-1
900027-13-0
900027-14-0
900027-15-1
900027-16-0
900027-16-1
900027-17-1
900027-18-1
900027-19-0
900027-20-1
900027-7-0
900028-12-1
900028-13-0
900028-15-1
900028-20-0
900028-7-0
900104-12-1
900104-17-0
900104-18-1
900104-8-0
900104-9-1
900105-14-0
900105-18-1
900105-19-1
900105-20-0
900105-8-0
900105-9-1
900106-13-1
900106-15-1
900106-19-0
900106-21-0
900107-10-0
900107-9-0
900108-10-1
900108-14-1
900108-16-1
900108-19-1
900108-7-0
900108-9-0
900109-10-0
900109-16-0
900109-7-0
900109-8-1
900110-14-1
900110-17-1
900110-7-0
900110-8-1
900111-15-1
900112-20-1
900115-11-0
900115-18-1
900115-7-1
900116-10-1
900116-15-1
900116-17-0
900116-7-1
900117-8-1
900118-10-0
900118-18-0
900119-21-1
900119-8-0
900119-9-1
900120-13-1
900120-15-0
900120-16-1
900120-18-0
900121-10-0
900121-11-1
900121-14-1
900121-16-0
900121-17-1
900121-20-1
900123-15-0
900123-21-1
900129-10-0
900129-11-1
900129-12-0
900129-13-0
900129-16-0
900129-16-1
900129-17-1
900129-19-1
900129-7-0
900129-8-0
900129-9-0
900130-10-1
900130-17-1
900130-18-1
900130-19-1
900132-15-0
900133-11-0
900133-19-1
900133-8-1
900134-10-1
900134-12-1
900134-15-1
900134-16-1
900134-19-0
900134-7-1
900134-8-1
900134-9-1
900135-14-1
900135-16-1
900135-18-1
900135-9-1
900136-10-0
900136-14-0
900136-17-1
900136-18-1
900136-8-1
900137-10-0
900137-12-0
900137-14-0
900138-15-0
900138-16-0
900138-17-0
900138-18-0
900138-19-0
900139-10-0
900139-17-1
900139-9-0
900140-16-1
900140-17-1
900140-8-0
900141-11-0
900141-17-1
900141-18-0
900141-9-0
900142-17-0
900142-18-1
900142-19-1
900142-8-1
900143-15-1
900143-16-1
900143-18-0
900143-8-1
900144-7-0
900145-10-1
900145-12-0
900145-7-0
900145-8-0
900146-10-1
900146-11-1
900146-12-1
900146-13-1
900146-14-1
900146-7-1
900146-8-1
900146-9-1
900147-10-1
900147-11-1
900147-12-1
900147-13-1
900147-14-1
900147-15-1
900147-16-1
900147-17-1
900147-7-1
900148-11-1
900148-12-1
900148-14-1
900148-15-1
900148-16-1
900148-17-1
900148-18-1
900148-19-1
900148-9-0
900149-12-0
900149-14-0
900149-15-1
900150-10-1
900150-14-0
900150-14-1
900150-17-0
900151-12-1
900152-11-0
900152-14-0
900152-17-1
900153-12-0
900153-8-1
900154-10-1
900154-15-0
900154-8-1
900154-9-1
900155-16-1
900155-18-0
900155-18-1
