complete 1700,cost 3162.2491405010223s.
complete 1710,cost 3180.9016358852386s.
complete 1720,cost 3199.5197670459747s.
complete 1730,cost 3218.1876363754272s.
complete 1740,cost 3236.7667183876038s.
complete 1750,cost 3255.4137024879456s.
complete 1760,cost 3274.0361840724945s.
complete 1770,cost 3292.6528725624084s.
complete 1780,cost 3311.3086926937103s.
complete 1790,cost 3329.860218524933s.
complete 1800,cost 3348.465574979782s.
complete 1810,cost 3367.1451354026794s.
complete 1820,cost 3385.7981221675873s.
complete 1830,cost 3404.392145395279s.
complete 1840,cost 3422.9714415073395s.
complete 1850,cost 3441.6137280464172s.
complete 1860,cost 3460.160486936569s.
complete 1870,cost 3478.8517003059387s.
complete 1880,cost 3497.4545016288757s.
complete 1890,cost 3516.05615234375s.
complete 1900,cost 3534.6362278461456s.
complete 1910,cost 3553.2849333286285s.
complete 1920,cost 3571.8799850940704s.
complete 1930,cost 3590.4729075431824s.
complete 1940,cost 3609.108634710312s.
complete 1950,cost 3627.728440284729s.
complete 1960,cost 3646.4147214889526s.
complete 1970,cost 3665.036281824112s.
complete 1980,cost 3683.620906829834s.
complete 1990,cost 3702.201756000519s.
complete 2000,cost 3720.8029913902283s.
complete 2010,cost 3739.4358026981354s.
complete 2020,cost 3758.0265822410583s.
complete 2030,cost 3776.6163659095764s.
complete 2040,cost 3795.2266795635223s.
complete 2050,cost 3813.8097310066223s.
complete 2060,cost 3832.4880480766296s.
complete 2070,cost 3851.088628768921s.
complete 2080,cost 3869.6667194366455s.
complete 2090,cost 3888.3056807518005s.
complete 2100,cost 3906.907546043396s.
complete 2110,cost 3925.5374829769135s.
complete 2120,cost 3944.092247724533s.
complete 2130,cost 3962.679178714752s.
complete 2140,cost 3981.2712109088898s.
complete 2150,cost 3999.8463051319122s.
complete 2160,cost 4018.4161858558655s.
complete 2170,cost 4037.0238032341003s.
complete 2180,cost 4055.6378288269043s.
complete 2190,cost 4074.1921882629395s.
complete 2200,cost 4092.7901051044464s.
complete 2210,cost 4111.392627716064s.
complete 2220,cost 4129.947013139725s.
complete 2230,cost 4148.558572053909s.
complete 2240,cost 4167.185475587845s.
complete 2250,cost 4185.748760700226s.
complete 2260,cost 4204.361842632294s.
complete 2270,cost 4222.967790842056s.
complete 2280,cost 4241.540283679962s.
complete 2290,cost 4260.146115541458s.
complete 2300,cost 4278.764036178589s.
complete 2310,cost 4297.366908311844s.
complete 2320,cost 4315.939583539963s.
complete 2330,cost 4334.57624912262s.
complete 2340,cost 4353.238395690918s.
complete 2350,cost 4371.919103860855s.
complete 2360,cost 4390.509793758392s.
complete 2370,cost 4409.089659690857s.
complete 2380,cost 4427.67933511734s.
complete 2390,cost 4446.290555238724s.
complete 2400,cost 4464.904732942581s.
complete 2410,cost 4483.592929124832s.
complete 2420,cost 4502.198654413223s.
complete 2430,cost 4520.800562381744s.
complete 2440,cost 4539.36673784256s.
complete 2450,cost 4557.907728672028s.
complete 2460,cost 4576.514825582504s.
complete 2470,cost 4595.118189096451s.
complete 2480,cost 4613.685803413391s.
complete 2490,cost 4632.277566432953s.
complete 2500,cost 4650.855107545853s.
complete 2510,cost 4669.458354234695s.
complete 2520,cost 4688.051236629486s.
complete 2530,cost 4706.594166755676s.
complete 2540,cost 4725.167498350143s.
complete 2550,cost 4743.737846374512s.
complete 2560,cost 4762.34458732605s.
complete 2570,cost 4780.949051856995s.
complete 2580,cost 4799.4954380989075s.
complete 2590,cost 4818.12731719017s.
complete 2600,cost 4836.757188796997s.
complete 2610,cost 4855.372527599335s.
complete 2620,cost 4873.924546480179s.
complete 2630,cost 4892.490754365921s.
complete 2640,cost 4911.051171779633s.
complete 2650,cost 4929.634151697159s.
complete 2660,cost 4948.262135267258s.
complete 2670,cost 4966.856514930725s.
complete 2680,cost 4985.423020124435s.
